"","hashtagstest","Freq"
"140","USNavy",0.000627591755202265
"141","U",0.000625912205455961
"142","IndianArmy",0.000623672805794223
"143","Press",0.000622553105963353
"144","Russian",0.000617514456724441
"145","Brexit",0.000613035657400964
"146","WarriorsAll",0.000604637908669444
"147","Ccot",0.000602398509007705
"148","KAG",0.000602398509007705
"149","BritishIndians",0.000597359859768793
"150","TweetforTaiwans",0.00059456061019162
"151","Massachusetts",0.000594000760276185
"152","WeThePeople",0.000592321210529881
"153","Australia",0.000583363611882926
"154","MAGA",0.000582243912052057
"155","IndianArmedForces",0.000578884812559449
"156","California",0.000571606763658798
"157","Serbia",0.00056824766416619
"158","news",0.000566008264504452
"159","Politico",0.000566008264504452
"160","UAE",0.000563768864842713
"161","CO2",0.000563209014927278
"162","France",0.000557610515772932
"163","Somalia",0.000555371116111193
"164","Foxandfriends",0.000554251416280324
"165","Democrats",0.000553691566364889
"166","Hydroxychloroquine",0.000548093067210542
"167","nuclear",0.000546413517464238
"168","TeacherAppreciationWeek",0.000546413517464238
"169","Delhi",0.000545293817633369
"170","S",0.0005441741178025
"171","mask",0.00053465666924011
"172","SARS",0.000532417269578371
"173","WuhanVirus",0.000531297569747502
"174","FoxNews",0.000530737719832067
"175","Hongkong",0.000530177869916633
"176","GovKemp",0.000529058170085763
"177","inSA",0.000518421021692505
"178","Maharashtra",0.000514502072284462
"179","SaudiArabia",0.000510583122876419
"180","Health",0.000507783873299246
"181","Gravitas",0.000506664173468377
"182","26millionunemployed",0.000506104323552942
"183","ClimateAction",0.000506104323552942
"184","india",0.000502185374144899
"185","Quarantine",0.00050106567431403
"186","Brazil",0.000497706574821422
"187","Thailand",0.000494347475328814
"188","NIH",0.00049266792558251
"189","Uyghur",0.000492108075667075
"190","IForIndia",0.000490988375836206
"191","startups",0.000484830026766424
"192","facemask",0.000482030777189251
"193","Communist",0.000480911077358382
"194","Biden",0.000478111827781208
"195","business",0.000478111827781208
"196","dogs",0.00047587242811947
"197","AndhraPradesh",0.000473633028457731
"198","ICYMI",0.000471953478711427
"199","remdesivir",0.000471953478711427
"200","MentalHealthWeek",0.000470273928965123
"201","covi",0.000469714079049688
"202","FamiliesFir",0.000469154229134254
"203","Ontario",0.000468594379218819
"204","immunity",0.000465795129641646
"205","Update",0.000464115579895342
"206","Lockdowndiaries",0.000461876180233603
"207","Punjab",0.000461316330318168
"208","Japan",0.00045907693065643
"209","Lockdown3",0.000458517080740995
"210","HealthWorkers",0.000456277681079256
"211","antiELAB",0.000455157981248387
"212","MachineLearning",0.000453478431502083
"213","BTSs",0.000452918581586648
"214","Poorvikamobiles",0.000451798881755779
"215","Kpop",0.000451239031840344
"216","Plandemic",0.000448999632178606
"217","Lockdowngam",0.000448439782263171
"218","PhysicalDistancing",0.000447320082432302
"219","SadSickWorld",0.000446760232516867
"220","InThisTogether",0.000445640532685998
"221","NOW",0.000445080682770563
"222","Breaking",0.000444520832855128
"223","Israel",0.000443960982939694
"224","t",0.000443401133024259
"225","MoscowMitch",0.000441721583277955
"226","Tanzanias",0.000441721583277955
"227","DigitalSoldiers",0.000439482183616216
"228","Trump2020",0.000439482183616216
"229","AmericaStrong",0.000438922333700781
"230","EhsaasEmergencyCash",0.000437242783954477
"231","IndianAirForce",0.000437242783954477
"232","Midwife",0.000437242783954477
"233","technology",0.000432204134715565
"234","Texas",0.000431644284800131
"235","Tanzania",0.000429404885138392
"236","so",0.000428285185307523
"237","Michigan",0.000427165485476653
"238","trump",0.000426045785645784
"239","QAnon",0.000425485935730349
"240","Vaccine",0.000425485935730349
"241","America",0.000424926085814915
"242","shutdown",0.000424926085814915
"243","MondayMotivation",0.00042436623589948
"244","SundayMorning",0.000421566986322307
"245","science",0.000419887436576003
"246","Coron",0.000412609387675352
"247","Verified",0.000411489687844483
"248","ChineseCommunistParty",0.000410929837929048
"249","StayHomeStaySafe",0.000408130588351875
"250","DataScience",0.000405331338774701
"251","Taiwans",0.000405331338774701
"252","GivingTuesday",0.000404771488859267
"253","ClimateChange",0.000404211638943832
"254","Ridge",0.000404211638943832
"255","animals",0.000403651789028397
"256","CCPVirus",0.000402532089197528
"257","masks",0.000402532089197528
"258","DonaldTrump",0.000401412389366659
"259","Americans",0.000400292689535789
"260","Sweden",0.000400292689535789
"261","MayDay2020",0.000397493439958616
"262","TestTraceIsolate",0.000395813890212312
